,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
13110,1265888,NEUSTAR INC,7/23/2014,juli,call,act,exhibit,copi,releas,replay,press,incorpor,report
13139,1280452,MONOLITHIC POWER SYSTEMS INC,7/24/2014,june,exhibit,act,end,index,releas,announc,press,result,mp
13175,23082,COMPUTER SCIENCES CORP,8/7/2014,file,risk,chief,statement,factor,offic,intent,august,subsequ,compani
13200,2488,ADVANCED MICRO DEVICES INC,7/17/2014,loss,gaap,sever,compani,debt,ratio,non,cfo,commentari,cost
13226,310568,MICROSEMI CORP,7/24/2014,juli,press,item,herein,statement,corpor,exhibit,releas,date,condit
13248,701811,MENTOR GRAPHICS CORP,8/21/2014,quarter,result,august,year,outlook,commiss,announc,compani,date,secur
13259,703361,INTEGRATED DEVICE TECHNOLOGY INC,7/28/2014,measur,regul,releas,gaap,exhibit,press,juli,financi,publicli,dissemin
13268,70866,NCR CORP,7/29/2014,outlook,quarter,juli,year,compani,copi,post,herebi,materi,websit
13294,714603,DST SYSTEMS INC,7/24/2014,juli,news,hereof,exhibit,date,file,act,conditionse,concern,item
13306,733269,ACXIOM CORP,8/4/2014,avail,gaap,compani,use,cash,measur,flow,equiti,attribut,non
13335,749251,GARTNER INC,8/5/2014,june,exhibitsexhibit,month,file,exchang,instruct,form,act,august,respect
13353,7536,ARROW ELECTRONICS INC,7/29/2014,juli,exchang,commentari,exhibit,file,releas,act,registr,press,cfo
13374,772406,CIRRUS LOGIC INC,7/23/2014,press,juli,text,year,result,form,report,compani,quarter,condit
13383,790703,TECH DATA CORP,8/26/2014,juli,non,incom,gaap,tax,month,margin,dilut,measur,relat
13405,797721,VIASAT INC,8/12/2014,section,exhibit,file,issu,august,press,specif,descript,hereof,languag
13429,813672,CADENCE DESIGN SYSTEMS INC,7/21/2014,herein,result,item,releas,exhibitsexhibit,press,end,exhibit,june,juli
13439,814547,FAIR ISAAC CORP,7/24/2014,exhibit,financi,condit,statement,item,result,,,,
13465,817720,SYNAPTICS INC,7/31/2014,form,document,reserv,registr,avail,chang,exhibit,report,shell,circumst
13476,851205,COGNEX CORP,7/28/2014,file,report,juli,june,languag,secur,hereto,attach,news,act
13489,860731,TYLER TECHNOLOGIES INC,7/24/2014,juli,news,releas,number,exhibit,issu,june,condit,financi,result
13502,877212,ZEBRA TECHNOLOGIES CORP,8/5/2014,file,act,august,exhibit,exchang,descript,june,contain,refer,secur
13513,883241,SYNOPSYS INC,8/20/2014,non,measur,gaap,tax,busi,cost,acquir,exclud,compens,expens
13536,8858,AVNET INC,8/6/2014,herein,august,cfo,exhibit,forth,review,incorpor,act,quarter,press
13561,895419,CREE INC,8/12/2014,august,exhibit,item,issu,releas,press,furthermor,compani,june,section
13576,898293,JABIL CIRCUIT INC,9/24/2014,exchang,regardless,file,report,act,herewith,septemb,exhibit,press,august
13616,936395,CIENA CORP,9/4/2014,discuss,investor,call,com,websit,septemb,time,juli,exhibit,result
13641,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,11/24/2014,year,regard,remark,look,compani,result,accompani,estim,novemb,slide
13666,1013462,ANSYS INC,11/5/2014,remark,exhibit,copi,registr,press,document,releas,novemb,date,item
13739,1032220,MAXIMUS INC,11/17/2014,accompani,transcript,call,form,slide,text,item,respect,result,confer
13741,103730,VISHAY INTERTECHNOLOGY INC,10/28/2014,stock,dilut,ep,share,convers,debentur,price,princip,convert,comput
13759,1038074,SILICON LABORATORIES INC,10/23/2014,result,gaap,addit,octob,press,supplement,inform,measur,financi,investor
13766,1056696,MANHATTAN ASSOCIATES INC,10/21/2014,acquisit,incom,perform,share,compens,gaap,cost,measur,adjust,competitor
13775,1062047,CONVERGYS CORP,11/5/2014,press,affair,releas,statement,cautionari,sinc,gaap,speak,date,therein
13802,1078075,NETSCOUT SYSTEMS INC,10/16/2014,hold,compani,exhibit,expressli,file,octob,herebi,topic,intent,futur
13844,1111928,IPG PHOTONICS CORP,10/28/2014,file,exhibit,act,forth,corpor,conditionon,text,form,specif,item
13861,1169561,COMMVAULT SYSTEMS INC,10/28/2014,exhibit,octob,press,releas,item,conditionon,pursuant,septemb,section,act
13912,1262039,FORTINET INC,10/22/2014,press,exchang,exhibit,file,septemb,releas,refer,act,octob,secur
13915,1265888,NEUSTAR INC,10/30/2014,octob,call,act,report,replay,exhibit,incorpor,releas,broadcast,press
13939,1280452,MONOLITHIC POWER SYSTEMS INC,10/27/2014,septemb,releas,exhibit,index,act,press,mp,end,announc,result
13963,23082,COMPUTER SCIENCES CORP,11/6/2014,statement,factor,offic,risk,intent,file,subsequ,litig,thursday,compani
14017,310568,MICROSEMI CORP,11/6/2014,novemb,program,share,price,corpor,author,board,event,repurchas,amount
14027,701811,MENTOR GRAPHICS CORP,11/20/2014,commiss,novemb,announc,outlook,quarter,year,result,compani,date,secur
14048,703361,INTEGRATED DEVICE TECHNOLOGY INC,10/27/2014,exhibit,releas,measur,press,regul,dissemin,financi,octob,gaap,publicli
14063,70866,NCR CORP,10/20/2014,inform,herebi,outlook,compani,septemb,octob,regard,incorpor,copi,press
14064,70866,NCR CORP,10/23/2014,outlook,octob,quarter,post,year,websit,herebi,copi,materi,compani
14095,714603,DST SYSTEMS INC,10/30/2014,news,exhibit,act,hereof,date,octob,file,conditionse,concern,item
14110,733269,ACXIOM CORP,11/3/2014,measur,cash,gaap,compani,avail,flow,incom,segment,exclud,non
14136,749251,GARTNER INC,11/6/2014,exchang,septemb,month,file,exhibitsexhibit,act,instruct,form,respect,financi
14151,7536,ARROW ELECTRONICS INC,10/29/2014,exhibit,releas,act,file,registr,cfo,press,octob,commentari,exchang
14173,772406,CIRRUS LOGIC INC,10/29/2014,press,month,text,year,form,octob,compani,quarter,report,condit
14184,790703,TECH DATA CORP,11/25/2014,incom,non,gaap,month,octob,dilut,margin,tax,attribut,share
14232,797721,VIASAT INC,11/7/2014,press,file,exhibit,section,novemb,specif,descript,issu,hereof,languag
14240,813672,CADENCE DESIGN SYSTEMS INC,10/20/2014,releas,exhibitsexhibit,octob,press,septemb,end,result,exhibit,herein,item
14275,814547,FAIR ISAAC CORP,11/6/2014,exhibit,financi,condit,statement,item,result,,,,
14310,817720,SYNAPTICS INC,10/23/2014,report,chang,exhibit,reserv,avail,registr,shell,form,document,circumst
14312,817720,SYNAPTICS INC,12/4/2014,prohibit,day,month,ms,bayless,retir,payment,releas,director,period
14317,851205,COGNEX CORP,10/27/2014,report,file,languag,septemb,hereto,act,news,octob,attach,secur
14337,860731,TYLER TECHNOLOGIES INC,10/23/2014,octob,number,septemb,exhibit,condit,issu,releas,news,financi,result
14356,877212,ZEBRA TECHNOLOGIES CORP,11/4/2014,exhibit,sepemb,file,act,novemb,exchang,refer,posit,descript,contain
14381,883241,SYNOPSYS INC,12/3/2014,pham,non,busi,beatti,gaap,tax,measur,cost,exclud,acquir
14401,895419,CREE INC,10/2/2014,estim,furthermor,conditionon,compani,section,secur,septemb,report,act,file
14402,895419,CREE INC,10/21/2014,item,exhibit,compani,furthermor,octob,releas,press,septemb,section,act
14465,898293,JABIL CIRCUIT INC,12/17/2014,regardless,decemb,report,herewith,exhibit,file,exchang,act,novemb,press
14486,910638,3D SYSTEMS CORP,10/22/2014,item,webcast,call,press,sec,preliminari,compani,octob,septemb,file
14489,910638,3D SYSTEMS CORP,11/10/2014,call,webcast,sec,exhibit,item,slide,press,compani,month,septemb
14522,936395,CIENA CORP,12/11/2014,websit,time,call,year,end,com,octob,discuss,decemb,investor
14546,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,11/21/2016,octob,press,exhibit,year,result,item,releas,document,end,section
14577,1013462,ANSYS INC,11/3/2016,remark,prepar,novemb,exhibit,copi,date,document,registr,press,releas
14617,1032220,MAXIMUS INC,11/14/2016,accompani,transcript,call,form,slide,text,item,respect,result,confer
14627,103730,VISHAY INTERTECHNOLOGY INC,11/7/2016,price,dilut,ep,debentur,share,stock,convers,convert,princip,comput
14647,1038074,SILICON LABORATORIES INC,10/26/2016,meaning,gaap,ongo,core,exclud,stock,measur,non,cost,financi
