,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,CIK,Company Name,Date Filed
7556,-0.011488188308846688,0.09460006008393712,0.00867314820677308,-0.014436243008885226,0.019375374246614858,0.0004960287865000882,0.002279558847023758,0.0036057509420808786,-0.004900502065321992,0.0016660899011010431,0.00019865801723441192,-0.0001916746263107104,-0.0025704026323146866,-0.08450274738555318,0.04788774807602335,-0.0034873311123355686,0.010471461551086261,-0.021235558261869635,0.002426362413002047,-0.05425539188929558,0.07707894241451387,-0.00790803488685193,-0.00030922088415812467,0.0132607294736558,0.010701966593897279,3.86390915689216e-05,-0.010348639088686272,-0.0037911634662647744,0.0020796447853411192,0.016316525883649905,790703,TECH DATA CORP,3/4/2013
7573,-0.04260041051886207,-0.0005279125868079245,0.022913721013492174,-0.0031118142777448454,-5.1427570593532087e-05,-0.0035228156262129768,-0.0005597661711281818,0.003613954179448682,-0.03810818669624282,-0.017919453821850777,0.0009697147343592903,-0.0007179035977926672,-0.004428818013169364,-0.0012137520713586551,-0.005053748465101379,0.0009767508569703562,-0.0022675952766902877,2.2386083740352443e-05,-0.12664826397525106,0.0029355819616856175,0.00024478801812972766,-0.03469009310910513,-0.0013564559863740524,0.0014390176231887759,0.09366247629035572,-0.019710120762348602,-0.05298770738855258,-0.04773724918219948,0.09034761561225614,0.024048994726891846,797721,VIASAT INC,2/6/2013
7607,-0.0009549240630030403,0.0004668835150475379,0.043036970256140034,0.0027307649371653034,-1.7780002898418175e-05,-0.0006964365358766041,0.0010205396793999662,0.0003048521491704134,-0.07438196281359813,-0.005644270950115975,1.6092625252725616e-05,-1.272729281805442e-05,-0.0014051273549901381,0.0011702955264457687,0.19892000941266155,2.189469269238275e-05,-0.0014959328086580257,3.622695721835131e-05,-0.015039315099845817,-0.004007893025479032,0.00011755885391979032,-0.05475406065276352,-0.0021409995388924144,2.1347173475696408e-05,0.019930826571919035,3.9014461813267846e-05,-9.908158572748967e-05,-0.015371548098038952,-0.006537585625315856,-0.003957525025641251,813672,CADENCE DESIGN SYSTEMS INC,1/30/2013
7634,0.0002016300490178243,0.0005166079729415048,0.14386950382452499,-0.00028012674874210424,-1.0336615916030306e-05,-4.6862992673361445e-05,-0.0002236105287866762,0.0001020743603307845,0.00026789966488367377,0.0003084208131769378,-3.5084011878183735e-06,2.794927329680217e-06,-0.005814339588503102,0.0012691863339606034,8.954647015447884e-07,-4.623014679211479e-06,-0.00048416951836208037,5.328358744813791e-05,-1.500963631845538e-06,0.000731136963889258,9.09501081583256e-05,0.005384110781059459,0.00021053011524930945,7.67731160820311e-05,0.0019148913877026046,1.173799830632433e-06,-0.0003146093198537435,0.0032952209467505687,7.962637919828235e-06,-0.0009819535363046275,814547,FAIR ISAAC CORP,1/30/2013
7670,-0.0165943098563054,-0.0009522698856070242,0.03284217284814243,-0.0030177932389507094,-0.0003859084587585142,-0.0008003081623450638,-0.005974456427944086,-0.00414708618917255,-0.026729850003031904,0.08802060203322137,0.00028609078722470753,-0.0002798660610093329,-0.012515871341999059,-0.004778992533373259,0.04050178669730065,0.00038047770374891884,0.055267963568661004,-0.017744385490789938,0.002104825089480286,0.002862440435509345,0.0034554813368038715,-0.0013201618535187507,-5.162111971149934e-05,-0.0021256250533966386,0.023702118167964973,0.0001294310433359978,-0.22300890166823875,0.0019372709509960838,0.01181476705292255,0.03641957565843649,817720,SYNAPTICS INC,1/24/2013
7691,-0.06728788611103612,-0.0007630920319332728,0.02103158814046222,0.001399897236010904,-0.0005793509709699867,-0.08035199723261952,-0.00042396636763359014,-0.0007215053705513483,-0.0031528626422180172,0.020722580610508086,0.0011161323787137762,-0.001129382235383014,0.003230023369591289,-0.0018632140656535897,0.009164349516198884,0.0015427903069989912,-0.001017978739245074,-4.9207789279587825e-05,-0.10643513931222891,-0.0017712299462614412,0.0001899033840009959,-0.0562471456318271,-0.002199382318426794,0.09741000570873312,0.01823794795131723,0.004267207563253847,-0.00027100570603208875,-0.00040176091108716803,0.15913277940144832,-0.012495385548411186,851205,COGNEX CORP,2/11/2013
7717,0.0010943634787481946,-0.0011559281569071544,0.030820423534290004,0.0007515596010248105,0.005258746228238473,-0.20861390643373995,0.00019090541922464055,-0.0005729617168125044,-0.007329505754252447,-0.0028730962837547882,0.00012304148638091135,1.821650559654113e-05,0.005450489064197697,-0.0028656669373193903,0.0050721237454407295,-2.509178791202205e-05,-0.0008429159696469716,-0.00013191689542676105,-0.1577483591545192,0.00023288126791295026,-0.001024973875754668,-0.00484042825418567,-0.00018927097893204898,0.0003208497846219617,0.0329803126987324,-0.012097518750986731,0.00023957756619900198,0.0003774063332319195,0.012275091225519947,-0.00742683116998438,860731,TYLER TECHNOLOGIES INC,2/7/2013
7732,-0.07750311121066014,-0.0009353081125881408,0.03347646201083106,0.002845820493838008,4.67561304746726e-06,-0.0008676901677777017,0.0010900740233274178,-0.0006101466632295998,-0.03412872009246756,0.016143235780117934,0.00133781166585182,-0.0013025156817041137,-0.0005844997632020872,-0.0023015665662641624,0.00468105241241747,0.001777007060985084,-0.001510721232770372,-0.00010387995555829156,-0.15585552904672578,6.493476963340522e-05,-9.726572460559048e-05,-0.04066614068235261,-0.0015901320817391592,0.000111670699369026,0.06536882409340847,0.00046520166144198625,-0.0003343860910766379,-0.011029474431843907,-0.009302188751991635,-0.00842626719278633,877212,ZEBRA TECHNOLOGIES CORP,2/12/2013
7752,-0.005476978108239132,0.14144637119371925,0.011084042042106163,0.0014557148649004476,0.00931626110145593,0.00020324909324409947,-0.001264853205311076,0.0022044912563539414,-0.007800859035168121,-0.004086157529171827,9.469100532118766e-05,-9.181053414978136e-05,-0.0024535434137000433,-0.08356985820758221,-0.0009891521042440206,0.0001255772654693505,0.019699156829409706,-0.009124989054119025,-0.025141344783136645,-0.002283573946651914,0.060894308038739964,-0.0029707146827437276,-0.00011616122512393488,-0.0003547329304057179,0.004997324777810907,2.003404703037768e-05,-0.006320755013334873,-0.007658939238622042,0.012239379585747733,0.0027199871228825393,883241,SYNOPSYS INC,2/20/2013
7795,-0.036514070803242475,0.0009450280519409046,0.030062273301781944,0.00220765937044807,-1.6182045286295457e-06,-0.0013261552485780172,0.0025547782260202548,-0.003755472366849092,-0.04387642183191663,0.03007554096924529,0.0006297610747640628,-0.0006155234347101181,0.0007902960654345822,0.002311776384275286,0.11203542968515408,0.0008372020249136335,-5.825205363380135e-05,1.568264211462995e-05,0.005750407223383904,0.002317927774305029,-6.903402886824795e-05,-0.004972556953305834,-0.00019443749042942864,0.0006269931502206164,0.044442639955562004,0.0002636947065717193,-0.0003904494608062279,-0.21843776827086867,0.0350266421790754,0.05867478248482858,8858,AVNET INC,1/24/2013
