,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
5262,1062449,BUFFALO WILD WINGS INC,2016-04-26,exhibitdescript,wing,exhibit,releas,press,buffalo,april,financi,wild,first
5302,1077771,UMPQUA HOLDINGS CORP,2016-04-20,april,act,slide,hold,umpqua,first,corpor,exchang,file,releas
5338,1128928,FLOWERS FOODS INC,2016-05-19,exhibit,inc,food,week,press,may,flower,releas,financi,number
5370,1143068,GREAT PLAINS ENERGY INC,2016-05-05,kcp,press,plain,inform,releas,great,energi,document,exhibit,registr
5395,1179929,MOLINA HEALTHCARE INC,2016-04-28,releas,first,exhibitno,cite,molina,healthcar,april,march,press,amend
5421,1265888,NEUSTAR INC,2016-04-28,april,neustar,first,releas,act,announc,call,exhibit,includ,refer
5440,1287865,MEDICAL PROPERTIES TRUST INC,2016-05-04,disclos,million,medic,gaap,trust,fund,quarter,march,measur,end
5481,18349,SYNOVUS FINANCIAL CORP,2016-04-19,pursuant,inform,document,current,exhibit,slide,act,supplement,file,april
5500,310142,SENSIENT TECHNOLOGIES CORP,2016-04-20,technolog,sensient,current,press,march,form,disclos,exhibit,corpor,releas
5507,33619,ESTERLINE TECHNOLOGIES CORP,2016-05-05,press,supplement,may,esterlin,technolog,releas,financi,exhibit,regard,inform
5519,350797,EATON VANCE CORP,2016-05-25,date,six,describ,exhibit,news,registr,may,document,april,three
5536,355811,GENTEX CORP,2016-04-22,shall,news,file,gentex,form,attach,third,exhibit,financi,section
5563,46195,BANK OF HAWAII CORP,2016-04-25,hyperlink,hawaii,corpor,april,internet,bank,exhibit,public,address,intend
5588,52827,RAYONIER INC,2016-05-04,financi,item,oper,statement,result,condit,exhibit,,,
5607,67215,DYCOM INDUSTRIES INC,2016-05-25,gaap,recogn,compani,purport,non,adjust,term,may,contract,measur
5609,67215,DYCOM INDUSTRIES INC,2016-05-26,measur,compani,purport,non,recogn,term,contract,gaap,adjust,forward
5632,70145,NATIONAL FUEL GAS CO,2016-04-29,chang,oil,ga,compani,obtain,project,natur,cost,rate,plan
5648,701811,MENTOR GRAPHICS CORP,2016-05-19,year,mentor,outlook,graphic,fiscal,compani,first,second,full,commiss
5664,706688,AARON'S INC,2016-04-29,aaron,exhibit,april,referenc,paragraph,herein,press,well,releas,financi
5691,720672,STIFEL FINANCIAL CORP,2016-05-09,referenc,call,site,web,listen,confer,broadcast,live,exhibit,stifel
5692,720672,STIFEL FINANCIAL CORP,2016-05-09,referenc,call,site,web,listen,confer,broadcast,live,exhibit,stifel
5708,73088,NORTHWESTERN CORP,2016-04-20,nwe,shall,narrow,found,nyse,concern,northwestern,guidanc,rang,assumpt
5727,73756,OCEANEERING INTERNATIONAL INC,2016-04-25,therein,unless,identifi,refer,incorpor,amend,first,act,secur,march
5743,74303,OLIN CORP,2016-05-03,exhibit,may,olin,instruct,preliminari,press,compani,releas,amend,financi
5787,7536,ARROW ELECTRONICS INC,2016-05-03,first,act,hereto,attach,registr,commentari,cfo,press,releas,may
5799,799729,PAREXEL INTERNATIONAL CORP,2016-04-27,exhibit,connect,exchang,file,full,april,act,parexel,intern,item
5810,861361,B/E AEROSPACE INC,2016-04-26,shall,act,aerospac,exchang,includ,file,refer,deem,herebi,secur
5831,861459,GRANITE CONSTRUCTION INC,2016-04-29,measur,compani,ebitda,gaap,provid,non,financi,use,method,similar
5847,887936,FTI CONSULTING INC,2016-04-29,segment,loss,ebitda,adjust,incom,fti,consult,charg,measur,gaap
5848,887936,FTI CONSULTING INC,2016-05-02,incom,consult,fti,charg,ebitda,segment,adjust,loss,measur,gaap
5866,903127,POST PROPERTIES INC,2016-05-03,supplement,data,financi,entireti,quarterli,post,earn,period,march,exhibit
5888,910521,DECKERS OUTDOOR CORP,2016-05-26,act,exhibit,outdoor,decker,may,shall,exchang,financi,file,hereto
5923,910606,REGENCY CENTERS CORP,2016-05-04,regenc,march,three,year,regencycent,com,websit,may,month,post
5934,921112,LIBERTY PROPERTY TRUST,2016-04-26,registr,exhibit,financi,none,april,pro,forma,shell,transact,current
5970,936395,CIENA CORP,2016-06-02,com,ciena,call,corpor,websit,discuss,april,second,investor,text
5982,936528,WASHINGTON FEDERAL INC,2016-04-15,applic,sheet,exhibit,fact,march,detail,april,financi,compani,certain
5995,945394,HOSPITALITY PROPERTIES TRUST,2016-05-10,quarter,may,data,supplement,hospit,financi,march,compani,oper,trust
6017,945764,DENBURY RESOURCES INC,2016-05-05,subordin,old,million,enter,princip,amount,aggreg,note,senior,new
6038,945841,POOL CORP,2016-04-21,pool,rais,corpor,first,earn,april,delawar,guidanc,extent,press
6043,1018003,INGRAM MICRO INC,2016-07-28,measur,ingram,micro,gaap,non,relat,view,associ,exclud,settlement
6059,1025996,KILROY REALTY CORP,2016-07-26,realti,kilroy,act,inform,juli,supplement,kilroyrealti,distribut,corpor,exchang
6066,103730,VISHAY INTERTECHNOLOGY INC,2016-08-02,share,stock,vishay,dilut,convert,debentur,ep,price,averag,convers
6079,1038074,SILICON LABORATORIES INC,2016-07-27,silicon,non,gaap,laboratori,measur,meaning,exclud,ongo,core,provid
6087,1056696,MANHATTAN ASSOCIATES INC,2016-07-19,acquisit,oper,cost,gaap,measur,adjust,incom,compens,net,exclud
6104,1062449,BUFFALO WILD WINGS INC,2016-07-26,exhibitdescript,juli,wild,wing,buffalo,exhibit,press,financi,releas,second
6122,1077771,UMPQUA HOLDINGS CORP,2016-07-20,umpqua,second,hold,corpor,slide,act,juli,fowler,lead,chair
6137,1128928,FLOWERS FOODS INC,2016-08-11,august,food,inc,ii,flower,releas,press,revis,week,exhibit
6177,1143068,GREAT PLAINS ENERGY INC,2016-08-04,energi,kcp,great,press,plain,august,document,exhibit,releas,inform
6221,1179929,MOLINA HEALTHCARE INC,2016-07-27,healthcar,six,molina,second,june,cite,exhibitno,amend,month,juli
6234,1265888,NEUSTAR INC,2016-07-28,call,neustar,juli,releas,second,announc,act,refer,includ,exhibit
6256,1287865,MEDICAL PROPERTIES TRUST INC,2016-08-04,million,month,june,six,three,end,medic,disclos,fund,measur
6281,18349,SYNOVUS FINANCIAL CORP,2016-07-19,pursuant,act,document,current,inform,exhibit,slide,supplement,file,juli
6290,310142,SENSIENT TECHNOLOGIES CORP,2016-07-22,technolog,six,sensient,disclos,june,condit,press,month,juli,releas
6297,33619,ESTERLINE TECHNOLOGIES CORP,2016-08-04,technolog,press,august,esterlin,supplement,financi,releas,exhibit,regard,inform
6314,350797,EATON VANCE CORP,2016-08-17,august,exhibit,nine,registr,date,news,describ,document,juli,three
6322,355811,GENTEX CORP,2016-07-22,shall,gentex,file,news,form,exhibit,financi,attach,section,deem
6330,46195,BANK OF HAWAII CORP,2016-07-25,internet,bank,corpor,hawaii,public,exhibit,hyperlink,juli,address,intend
