,CIK,Company Name,Form Type,Date Filed,Filename
12699,1032220,MAXIMUS INC,8-K,3/9/2015,edgar/data/1032220/0001104659-15-018140.txt
12700,1032220,MAXIMUS INC,8-K,3/12/2015,edgar/data/1032220/0001157523-15-000914.txt
12701,1032220,MAXIMUS INC,DEF 14A,1/26/2015,edgar/data/1032220/0001047469-15-000416.txt
12702,1032220,MAXIMUS INC,SC 13G/A,1/15/2015,edgar/data/1032220/0001086364-15-000316.txt
12703,1032220,MAXIMUS INC,SC 13G/A,2/11/2015,edgar/data/1032220/0000932471-15-004995.txt
12704,1032220,MAXIMUS INC,SC 13G/A,2/17/2015,edgar/data/1032220/0001140361-15-006942.txt
12705,1032220,MAXIMUS INC,SC 13G,2/13/2015,edgar/data/1032220/0000315066-15-002127.txt
13987,103730,VISHAY INTERTECHNOLOGY INC,10-K,2/19/2015,edgar/data/103730/0000103730-15-000008.txt
13988,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000165.txt
13989,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000166.txt
13990,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000167.txt
13991,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000169.txt
13992,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000171.txt
13993,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000172.txt
13994,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000173.txt
13995,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000174.txt
13996,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000175.txt
13997,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000176.txt
13998,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000178.txt
13999,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000179.txt
14000,103730,VISHAY INTERTECHNOLOGY INC,4,1/2/2015,edgar/data/103730/0001140361-15-000180.txt
14001,103730,VISHAY INTERTECHNOLOGY INC,4,1/5/2015,edgar/data/103730/0001140361-15-000245.txt
14002,103730,VISHAY INTERTECHNOLOGY INC,4,2/11/2015,edgar/data/103730/0001140361-15-005590.txt
14003,103730,VISHAY INTERTECHNOLOGY INC,4,2/26/2015,edgar/data/103730/0001140361-15-009125.txt
14004,103730,VISHAY INTERTECHNOLOGY INC,4,3/4/2015,edgar/data/103730/0001140361-15-010222.txt
14005,103730,VISHAY INTERTECHNOLOGY INC,4,3/4/2015,edgar/data/103730/0001140361-15-010223.txt
14006,103730,VISHAY INTERTECHNOLOGY INC,4,3/4/2015,edgar/data/103730/0001140361-15-010224.txt
14007,103730,VISHAY INTERTECHNOLOGY INC,4,3/4/2015,edgar/data/103730/0001140361-15-010226.txt
14008,103730,VISHAY INTERTECHNOLOGY INC,4,3/4/2015,edgar/data/103730/0001140361-15-010227.txt
14009,103730,VISHAY INTERTECHNOLOGY INC,4,3/4/2015,edgar/data/103730/0001140361-15-010228.txt
14010,103730,VISHAY INTERTECHNOLOGY INC,5,2/11/2015,edgar/data/103730/0001140361-15-005584.txt
14011,103730,VISHAY INTERTECHNOLOGY INC,5,2/11/2015,edgar/data/103730/0001140361-15-005588.txt
14012,103730,VISHAY INTERTECHNOLOGY INC,8-K,2/5/2015,edgar/data/103730/0000103730-15-000002.txt
14013,103730,VISHAY INTERTECHNOLOGY INC,8-K,2/20/2015,edgar/data/103730/0000103730-15-000009.txt
14014,103730,VISHAY INTERTECHNOLOGY INC,8-K,3/4/2015,edgar/data/103730/0000103730-15-000011.txt
14015,103730,VISHAY INTERTECHNOLOGY INC,8-K,3/13/2015,edgar/data/103730/0000103730-15-000013.txt
14016,103730,VISHAY INTERTECHNOLOGY INC,SC 13D,3/30/2015,edgar/data/103730/0000103730-15-000015.txt
14017,103730,VISHAY INTERTECHNOLOGY INC,SC 13G/A,1/29/2015,edgar/data/103730/0000906304-15-000201.txt
14018,103730,VISHAY INTERTECHNOLOGY INC,SC 13G/A,1/30/2015,edgar/data/103730/0001086364-15-001428.txt
14019,103730,VISHAY INTERTECHNOLOGY INC,SC 13G/A,2/5/2015,edgar/data/103730/0001258897-15-000981.txt
14020,103730,VISHAY INTERTECHNOLOGY INC,SC 13G/A,2/10/2015,edgar/data/103730/0001390777-15-000055.txt
14021,103730,VISHAY INTERTECHNOLOGY INC,SC 13G/A,2/11/2015,edgar/data/103730/0000932471-15-004918.txt
14022,103730,VISHAY INTERTECHNOLOGY INC,SC 13G,2/10/2015,edgar/data/103730/0001390777-15-000028.txt
14023,103730,VISHAY INTERTECHNOLOGY INC,SC 13G,2/12/2015,edgar/data/103730/0001050470-15-000020.txt
14406,1038074,SILICON LABORATORIES INC,10-K,2/6/2015,edgar/data/1038074/0001047469-15-000641.txt
14407,1038074,SILICON LABORATORIES INC,3,1/12/2015,edgar/data/1038074/0001576021-15-000003.txt
14408,1038074,SILICON LABORATORIES INC,4,1/2/2015,edgar/data/1038074/0001576021-15-000001.txt
14409,1038074,SILICON LABORATORIES INC,4,1/2/2015,edgar/data/1038074/0001576021-15-000002.txt
14410,1038074,SILICON LABORATORIES INC,4,2/6/2015,edgar/data/1038074/0001576021-15-000004.txt
14411,1038074,SILICON LABORATORIES INC,4,2/13/2015,edgar/data/1038074/0001576021-15-000005.txt
14412,1038074,SILICON LABORATORIES INC,4,2/17/2015,edgar/data/1038074/0001576021-15-000006.txt
14413,1038074,SILICON LABORATORIES INC,4,2/17/2015,edgar/data/1038074/0001576021-15-000007.txt
14414,1038074,SILICON LABORATORIES INC,4,2/18/2015,edgar/data/1038074/0001104659-15-011769.txt
14415,1038074,SILICON LABORATORIES INC,4,2/18/2015,edgar/data/1038074/0001104659-15-011771.txt
14416,1038074,SILICON LABORATORIES INC,4,2/18/2015,edgar/data/1038074/0001104659-15-011773.txt
14417,1038074,SILICON LABORATORIES INC,4,2/18/2015,edgar/data/1038074/0001576021-15-000008.txt
14418,1038074,SILICON LABORATORIES INC,4,2/18/2015,edgar/data/1038074/0001576021-15-000009.txt
14419,1038074,SILICON LABORATORIES INC,4,2/19/2015,edgar/data/1038074/0001104659-15-012007.txt
14420,1038074,SILICON LABORATORIES INC,4,2/20/2015,edgar/data/1038074/0001576021-15-000010.txt
14421,1038074,SILICON LABORATORIES INC,4,2/24/2015,edgar/data/1038074/0001418215-15-000001.txt
14422,1038074,SILICON LABORATORIES INC,4,2/25/2015,edgar/data/1038074/0001576021-15-000011.txt
14423,1038074,SILICON LABORATORIES INC,4,2/25/2015,edgar/data/1038074/0001576021-15-000012.txt
14424,1038074,SILICON LABORATORIES INC,4,2/25/2015,edgar/data/1038074/0001576021-15-000013.txt
