,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,CIK,Company Name,Date Filed
499,-0.06858485605161273,-0.003014487487869916,0.086317642406099,-0.00031964444953199903,0.03838666650034113,1.583355682178689e-06,0.00596027830276949,0.048743421410448844,0.0037076796190192605,-0.05497403182200146,0.04180875171204597,-0.00455168667421689,0.007218684751812356,-0.002349603614144542,0.02630290273551534,0.0011690606869052698,0.016500205129132844,3.746567696568573e-06,-0.01803427711379485,-0.040432987032355504,-2.3722584823430078e-05,-0.0016159682444221895,0.0009286321051946771,0.0,-0.0029809572975499853,0.0002588527158688245,0.09495567730678847,0.0,-0.0001293599182301887,-0.0002450625447235999,18349,SYNOVUS FINANCIAL CORP,2015-01-27
517,-0.07821035441461098,8.701621556944361e-05,-0.0010640710774489253,-3.7024716671463257e-06,0.00036559668750791604,-0.0002883859231305412,2.757852848906862e-07,0.0034195235333957454,-2.17665641238048e-05,-0.0009770725237632561,0.005145985428733833,0.03828586097439205,-0.04565509005568397,0.000517221359168072,0.366950581974719,0.0005425749027421077,-5.679524572889566e-05,3.554860617314191e-05,-0.13882891926996657,-0.06148397839474249,0.001049628115343096,-0.00045971819490969534,0.0010832425528121696,0.0,-0.00047310729368981293,1.4862824423619743e-08,7.706838298167674e-05,0.0,-0.00015089739765767295,-0.0011618407219281604,310142,SENSIENT TECHNOLOGIES CORP,2015-02-06
540,-0.0939174148039187,0.00021956748754221186,0.003692832429849971,-8.544081461025356e-06,-0.0020082717134056226,0.0002812518781215721,2.876000960114978e-06,-0.0047015590550305636,-0.00022699057110055754,-0.0023071256430808084,0.05363294243022742,0.05235640987342036,0.0028970499974244335,-0.000714177595527862,0.12635794564317626,0.007140095405709429,7.73795406054104e-05,4.855844848462739e-05,-0.0003780677525014311,-0.055926201936374445,-0.0005632919924579905,-0.0021086479124978108,0.0012918521602724921,0.0,-0.0016453526309196816,1.5499556957614275e-07,0.00048723284613520193,0.0591999785515751,-0.00017995704529654262,0.0010725417281672795,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-05
560,-0.06609775444505268,9.88340927075027e-05,0.0058729719181811295,3.5719004602132935e-06,-0.0050577067920897865,0.00014681292477463202,4.277025741720139e-06,0.20641594396883767,-0.0003375675214260107,0.00043249073532480024,0.08025511462851799,0.02154228223693665,0.02329404868965277,0.0011674315452960974,-0.007504959980279977,-0.0007522510642016892,0.014609251243513442,1.9864651552742865e-05,-0.1620520087496008,-0.07051675752284198,0.0019554726308612476,-0.003049091509198673,0.0009026271273351996,0.0,-0.001948541424463448,2.3050063269215146e-07,0.0003282943517054811,0.0,-0.00012573738376184325,-0.1677500462449334,350797,EATON VANCE CORP,2015-02-25
571,-0.04286731464424742,0.00013141405537653382,0.10665573063426634,6.805560166567169e-06,-0.0005042414363038516,0.00017415604308004825,4.386713473812191e-07,-0.002740892459262875,-3.4622470940876595e-05,0.0009828149466799955,0.010010688056554789,0.032079402977917795,-0.030339190010766664,-0.0027743303029513825,0.012215320181338536,0.0031551367584205735,2.856672637698347e-05,2.9575696869502574e-05,-0.06979363144139027,-0.058584777265243734,-0.000260574838263846,-0.0005666263183827312,0.00046161057450137393,0.0,-0.016180639015329852,2.364120050271744e-08,0.0004386246580637291,0.0,-6.430308174534827e-05,-0.33791065605362863,355811,GENTEX CORP,2015-01-28
644,-0.06951187800935568,-0.001410377870543803,0.0057804081928609485,-1.962700571628362e-05,-0.0014608453738251333,0.00030459978817101756,4.588329258781341e-08,-0.0010521722797073346,-3.621373891358287e-06,4.408061351302199e-05,0.0005169586621693377,0.052369001407305577,-0.003900202925129656,0.0004781601183119881,0.004660451124130769,0.374138353876796,1.637125952618387e-05,-0.00040620012869621987,-0.04160326637788956,-0.05527620704498491,0.000898252157721611,-4.233711878853581e-05,0.0009547481934889546,0.0,-0.001386633168017401,2.472776319376693e-09,0.0003837169706804074,0.0,-0.0001329979305575053,0.0007055615362803325,46195,BANK OF HAWAII CORP,2015-01-26
657,0.0013056077476963595,1.1608250081097274e-06,2.8769785894882115e-05,-1.0588025284611268e-09,-0.003005615914892341,1.614099665204368e-06,1.0339334072012655e-08,1.4929778142280875e-05,-8.160398339059593e-07,-3.449707648202322e-06,0.00019530625175616088,0.00011470686329350233,-8.87505263479269e-05,-6.7457639558041575e-06,-2.470678663127046e-06,-6.6411188080368445e-06,-2.524046836799375e-07,1.054004419272807e-07,1.1582027255142354e-05,-0.22815374229485721,0.00019865029385635185,-8.23516904531168e-06,-1.8113471439512585e-05,0.0,4.2443009076360914e-06,5.572150342625599e-10,-1.0311320181264155e-06,0.0,2.523235166189929e-06,-5.426475836098187e-06,52827,RAYONIER INC,2015-02-12
680,-0.025446398705939968,-0.12249700687927023,0.04228902106569909,0.005149843858085092,0.003656711905904572,-0.008712991621013003,0.02169492622011542,0.006250977226616727,0.00840305655150761,-0.16142766348681756,-0.0017591860508698416,0.018843815424974188,-0.010550343186828546,-0.00624176555105754,0.017800921784379073,0.0019883766611297664,-9.78884931385207e-05,-0.00011396778649396857,-0.0492217540612772,-0.03446574363481047,0.04917660551005485,0.008414958557759778,-0.002067453342055488,0.0,-0.002787187841798723,0.0005465342803697013,0.011534814240046232,0.0,0.0002879995143146179,-0.0026479285576092868,67215,DYCOM INDUSTRIES INC,2015-02-25
682,-0.006416800212604078,-0.14991774988475648,0.0420123917192926,0.004379833844438666,0.003302068212015018,-0.008113677216196609,0.025865649820548016,0.005173623732621419,0.006219233730694978,-0.12933605503481052,-0.0008006746116586848,0.01841501580166214,-0.014807473637005367,-0.005693699279338157,0.01762504284502145,0.0005930974863390456,-7.6216533142217e-05,-0.0001997368350046355,-0.03723886445810855,-0.0375231769455283,0.043943401626412505,0.007756319939020054,-0.0021623446359078594,0.0,-0.0028664416222299563,0.0007215025859164491,0.0030868438982966794,0.0,0.0003012180213475255,-0.003301597265094766,67215,DYCOM INDUSTRIES INC,2015-02-27
701,-0.015791339575429022,-0.04210779304938452,0.008875002445221497,-3.206403977832863e-05,0.0027423527155840273,-0.007935283230371376,0.0020545248301101974,0.00435808359299047,0.0024052069503504867,-0.14664641020597155,0.0006501702309476353,0.004269914309974348,-0.004120616006737071,-0.0074209196832172464,0.008131182512078968,0.015084108929845899,-7.457798103611281e-05,-6.029825569720381e-05,-0.002719141234853925,-0.02014567434593877,0.005692864221823301,-4.884996359839335e-05,0.00021757007831337788,0.0,-0.00023361037147011946,-8.107307301570613e-06,0.00106470336571631,0.0,-3.030785537406556e-05,0.0004123016745638633,70145,NATIONAL FUEL GAS CO,2015-01-30
719,-0.03659932302076772,0.00019705442567021,0.010466356410826744,-0.0004755713228662579,-7.714482804494558e-05,7.546273945615007e-05,1.493681969317824e-07,-0.0012537961014143489,-1.1788998959322448e-05,-0.0948582183131913,0.0033425813794900196,0.012240424676024826,-0.3796611199190043,-0.0019869972934514566,0.0008035664251904099,0.0015208668047572429,1.9330607165414293e-05,1.8275833097470384e-05,-0.09538518207674458,-0.04438861221390553,0.0004744595963702283,-0.0022599540895727613,0.000493394392727622,0.0,-0.0018506566399566807,8.049861276498849e-09,-0.00018114369562202085,0.04069978166027089,-6.873061779949827e-05,-0.0016022227905517158,701811,MENTOR GRAPHICS CORP,2015-02-26
