,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
2960,910521,DECKERS OUTDOOR CORP,2015-09-16,votedforagainstabstentionsbrok,share,set,forth,compani,stock,stockhold,vote,propos,respect
3350,350797,EATON VANCE CORP,2015-11-03,plan,eaton,corp,vanc,restat,incent,amend,nonqualifi,purchas,form
3412,67215,DYCOM INDUSTRIES INC,2015-11-24,patricia,coley,higgin,forvot,nielsen,compani,thomsen,againstabstainbrok,lauri,vote
3605,799729,PAREXEL INTERNATIONAL CORP,2015-12-08,ii,parexel,sharehold,exhibit,brokerfor,intern,vote,abstain,brokerdirector,voteseduard
4317,33619,ESTERLINE TECHNOLOGIES CORP,2016-02-16,propos,expir,reusser,vote,abstain,cast,esterlin,sharehold,year,haack
4336,350797,EATON VANCE CORP,2016-01-20,previou,stockhold,octob,jr,januari,vote,common,annual,meet,compani
4446,70145,NATIONAL FUEL GAS CO,2016-03-16,chairman,vote,cast,non,smith,respect,mr,broker,march,director
5048,936395,CIENA CORP,2016-03-30,foragainstabstainnon,propos,cast,stockhold,vote,director,major,ciena,total,affirm
5077,936528,WASHINGTON FEDERAL INC,2016-01-22,approv,stockhold,restat,touch,deloitt,januari,amend,articl,vote,applic
5169,1018003,INGRAM MICRO INC,2016-06-08,votesfor,vote,broker,compani,abstain,sec,ingram,sharehold,number,file
5170,1018003,INGRAM MICRO INC,2016-06-21,merger,tianjin,agreement,tianhai,hna,group,contempl,special,transact,guarante
5196,1025996,KILROY REALTY CORP,2016-05-19,broker,realti,propos,vote,abstain,annual,kilroy,compani,stevenson,joli
5202,103730,VISHAY INTERTECHNOLOGY INC,2016-05-24,class,stock,common,power,vishay,dividend,total,vote,declar,exhibit
5219,1038074,SILICON LABORATORIES INC,2016-04-22,kim,vote,lazar,bock,abstain,jack,neil,broker,non,silicon
5235,1056696,MANHATTAN ASSOCIATES INC,2016-05-13,class,vote,annual,meet,number,iii,exhibit,continu,perform,sharehold
5263,1062449,BUFFALO WILD WINGS INC,2016-05-18,sharehold,vote,propos,member,base,follow,obtain,oliv,compani,warren
5303,1077771,UMPQUA HOLDINGS CORP,2016-04-25,sharehold,susan,lui,peggi,machuca,vote,votedfor,fowler,say,pay
5396,1179929,MOLINA HEALTHCARE INC,2016-05-02,molina,votesfor,stockhold,vote,votesagainst,compani,regard,brokernon,share,ii
5422,1265888,NEUSTAR INC,2016-06-17,neustar,runtagh,vote,designe,hellen,abstent,votespaul,stockhold,properli,access
5442,1287865,MEDICAL PROPERTIES TRUST INC,2016-05-20,forth,cast,propos,number,set,abstent,steven,andbrokernon,vote,broker
5483,18349,SYNOVUS FINANCIAL CORP,2016-04-27,sharehold,tim,synovu,propos,goodrich,abstent,vote,tabul,broker,camp
5501,310142,SENSIENT TECHNOLOGIES CORP,2016-04-25,exhibit,compani,dr,vote,sharehold,mario,share,ferruzzi,landri,sensient
5537,355811,GENTEX CORP,2016-05-24,describ,sharehold,broker,mulder,pete,jame,compani,vote,auditor,sotok
5564,46195,BANK OF HAWAII CORP,2016-05-03,mandatori,illeg,elect,uncast,robert,abstent,cast,vote,lucien,votess
5589,52827,RAYONIER INC,2016-05-24,item,matter,holder,vote,secur,submiss,,,,
5649,701811,MENTOR GRAPHICS CORP,2016-06-20,propos,reserv,issuanc,plan,purchas,employe,vote,increas,sharehold,compani
5665,706688,AARON'S INC,2016-05-05,meet,director,annual,robinson,compani,vote,common,stock,share,nomine
5693,720672,STIFEL FINANCIAL CORP,2016-06-15,abstent,declassif,disclos,six,restat,iii,iv,proxi,incent,vote
5710,73088,NORTHWESTERN CORP,2016-04-26,vote,director,nomin,northwestern,compani,certif,respect,brokerfor,incorpor,cast
5728,73756,OCEANEERING INTERNATIONAL INC,2016-05-09,vote,ocean,broker,forth,abstent,result,set,murphi,non,mcevoy
5745,74303,OLIN CORP,2016-05-03,william,class,vote,term,olin,corpor,one,four,meet,propos
5789,7536,ARROW ELECTRONICS INC,2016-05-13,compani,share,ask,vote,sharehold,describ,proxi,person,propos,annual
5833,861459,GRANITE CONSTRUCTION INC,2016-06-14,directorship,compani,februari,ensu,three,vote,board,foragainstabstainbrok,pricewaterhousecoop,appoint
5852,887936,FTI CONSULTING INC,2016-06-06,fti,consult,vote,annual,propos,stockhold,meet,march,record,cast
5868,903127,POST PROPERTIES INC,2016-06-01,deloitt,french,sharehold,sr,vote,touch,iii,compani,russel,wood
5922,910606,REGENCY CENTERS CORP,2016-05-02,vote,current,account,accord,list,fiscal,nomine,board,elect,kpmg
5936,921112,LIBERTY PROPERTY TRUST,2016-05-16,offic,propos,truste,trust,select,vote,nine,hold,broker,lachman
5996,945394,HOSPITALITY PROPERTIES TRUST,2016-05-27,committe,adam,lamkin,truste,board,govern,portnoy,ms,fraich,nomin
6020,945764,DENBURY RESOURCES INC,2016-05-27,propos,exhibit,broker,result,follow,abstent,includ,compani,vote,restat
6039,945841,POOL CORP,2016-05-06,particip,aip,award,pool,committe,ltip,period,grant,incent,plan
6135,1128928,FLOWERS FOODS INC,2016-07-29,vote,major,receiv,therefor,pass,abstain,affirm,compani,sharehold,broker
6183,1143068,GREAT PLAINS ENERGY INC,2016-09-26,plain,risk,great,joint,cost,transact,westar,energi,propos,sec
6570,910521,DECKERS OUTDOOR CORP,2016-09-16,compani,stockhold,virtual,vote,forth,juli,propos,share,candid,set
