,Freq,Freq_pct
annum,23,0.0011605611060651934
august,22,0.0011101019275406197
coverag,22,0.0011101019275406197
number,22,0.0011101019275406197
provis,22,0.0011101019275406197
fenner,22,0.0011101019275406197
pierc,22,0.0011101019275406197
distribut,21,0.001059642749016046
state,21,0.001059642749016046
merril,21,0.001059642749016046
approxim,21,0.001059642749016046
libor,21,0.001059642749016046
servic,21,0.001059642749016046
permit,20,0.0010091835704914725
lynch,20,0.0010091835704914725
relat,20,0.0010091835704914725
affili,20,0.0010091835704914725
investor,20,0.0010091835704914725
disclos,20,0.0010091835704914725
therein,20,0.0010091835704914725
pca,20,0.0010091835704914725
factor,19,0.0009587243919668988
text,19,0.0009587243919668988
branch,19,0.0009587243919668988
restrict,19,0.0009587243919668988
basi,19,0.0009587243919668988
jpmorgan,19,0.0009587243919668988
perform,19,0.0009587243919668988
name,19,0.0009587243919668988
avail,18,0.0009082652134423251
hei,18,0.0009082652134423251
hold,18,0.0009082652134423251
dividend,18,0.0009082652134423251
purport,18,0.0009082652134423251
disposit,18,0.0009082652134423251
parkway,18,0.0009082652134423251
herewith,17,0.0008578060349177515
schedul,17,0.0008578060349177515
consumm,17,0.0008578060349177515
pmc,17,0.0008578060349177515
tax,17,0.0008578060349177515
liabil,17,0.0008578060349177515
loss,17,0.0008578060349177515
agre,16,0.000807346856393178
taa,16,0.000807346856393178
non,16,0.000807346856393178
astoria,16,0.000807346856393178
control,16,0.000807346856393178
