Date,TKR,LII,EME,FCN,GWR,OSK,OA,JOY,CSL,CLC,CW,DCI,DY,ESL,GATX,GGG,HUBB,IEX,KMT,LECO,ROL,TTC,HNI,MLHR,BEAV,CLH,GVA,AOS,KEX,MSA,NDSN,ODFL,AGCO,RBC,KBR,VMI,HII,WERN,WSO,ITT,MAN,CPRT,TEX,WAB,WWD,CAR,JBLU,TRN,LSTR,MSM,CEB,ACM,TDY,CR,DLX,ENS
2015-03-19,41.110001000000004,109.459999,45.18,37.209998999999996,103.809998,47.540001000000004,76.720001,39.150002,91.690002,65.449997,72.41999799999999,37.91,47.09,113.800003,59.150002,73.279999,110.050003,76.389999,33.209998999999996,66.599998,24.379998999999998,69.010002,52.830002,28.959999,62.07,56.77,33.509997999999996,64.25,75.08000200000001,49.75,78.129997,80.370003,47.32,79.5,14.28,123.43,141.330002,33.130001,122.620003,39.75,85.58000200000001,37.369999,26.16,95.18,49.93,58.93,19.370001000000002,34.0,68.010002,73.010002,78.300003,30.209999,102.620003,63.549999,66.970001,65.75
2015-03-20,41.700001,109.769997,46.650002,37.439999,103.58000200000001,47.880001,78.230003,40.41,92.699997,66.629997,72.58000200000001,38.110001000000004,46.959998999999996,115.650002,60.529999,72.18,111.410004,76.349998,33.68,65.059998,24.690001000000002,69.449997,53.849998,28.42,62.41,56.639998999999996,34.040001000000004,64.510002,75.639999,51.18,78.260002,80.129997,47.580002,79.959999,14.41,122.0,143.070007,33.09,123.68,40.0,86.650002,37.799999,26.709999,96.57,50.73,58.880001,19.48,35.279999,68.910004,73.129997,79.260002,31.09,104.230003,63.380001,68.339996,66.279999
2015-03-23,41.580002,109.949997,46.759997999999996,37.599998,101.629997,48.310001,79.779999,40.66,91.93,66.050003,72.550003,37.880001,48.880001,114.839996,59.759997999999996,71.959999,110.550003,75.760002,33.779999,64.379997,24.889999,69.660004,54.279999,27.969998999999998,62.639998999999996,57.639998999999996,34.009997999999996,63.98,74.790001,51.32,77.879997,79.279999,47.27,78.66999799999999,14.61,122.879997,142.229996,32.48,123.449997,39.549999,86.699997,37.529999,26.790001,96.220001,50.709998999999996,58.509997999999996,19.440001000000002,35.279999,68.040001,72.769997,78.239998,31.200001,104.160004,62.75,67.790001,66.400002
2015-03-24,41.34,109.959999,46.59,37.720001,101.769997,47.68,79.769997,40.419998,91.440002,65.910004,72.980003,37.529999,48.169998,115.779999,59.75,71.559998,110.370003,75.449997,34.029999,65.639999,24.76,69.400002,54.490002000000004,28.139999,62.139998999999996,56.400002,34.0,64.139999,74.199997,51.150002,77.16999799999999,78.18,47.060001,78.559998,14.53,120.769997,142.240005,32.220001,123.989998,39.41,86.449997,37.459998999999996,26.559998999999998,96.029999,50.919998,57.799999,19.58,35.610001000000004,67.16999799999999,73.18,78.349998,31.07,105.010002,63.07,68.139999,65.940002
2015-03-25,41.150002,109.199997,45.880001,36.25,100.18,47.080002,76.300003,39.970001,90.349998,64.660004,70.769997,37.07,46.959998999999996,112.199997,58.950001,70.860001,109.400002,74.589996,34.200001,64.75,24.309998999999998,69.010002,53.790001000000004,27.9,61.470001,55.349998,33.200001,63.470001,73.849998,49.419998,76.449997,76.779999,46.919998,78.739998,14.38,119.68,138.0,31.76,122.360001,38.990002000000004,84.410004,36.610001000000004,26.42,95.269997,50.599998,57.009997999999996,18.780001000000002,34.959998999999996,65.949997,72.839996,76.790001,30.940001000000002,104.0,62.75,65.269997,63.310001
2015-03-26,41.049999,109.769997,46.060001,36.380001,98.370003,47.310001,76.860001,39.16,90.650002,64.860001,71.589996,37.009997999999996,47.540001000000004,111.949997,57.549999,70.870003,109.699997,74.57,34.040001000000004,64.290001,24.34,68.260002,53.259997999999996,27.639999,61.709998999999996,56.25,33.549999,63.91,73.760002,49.16,76.43,76.980003,46.709998999999996,78.470001,14.41,120.239998,138.300003,30.98,122.489998,39.32,84.5,36.75,26.43,94.230003,50.290001000000004,56.52,18.52,34.389998999999996,65.870003,72.440002,78.129997,30.790001,104.519997,62.959998999999996,65.849998,63.849998
2015-03-27,40.799999,110.519997,45.639998999999996,36.790001000000004,96.639999,47.439999,76.83000200000001,38.59,91.459999,65.41999799999999,71.860001,37.119999,47.41,112.68,57.880001,71.129997,109.459999,75.019997,34.02,64.41999799999999,24.530001000000002,69.209999,53.799999,27.389999,62.139998999999996,56.849998,33.509997999999996,64.839996,73.150002,49.470001,77.41999799999999,77.07,46.830002,78.230003,14.26,120.650002,137.630005,30.639999,123.809998,39.41,84.800003,37.189999,26.049999,94.550003,50.41,56.810001,19.280001000000002,34.68,65.75,71.209999,78.839996,30.620001000000002,105.699997,62.939999,66.93,64.0
2015-03-30,42.060001,111.370003,46.900002,37.889998999999996,97.190002,48.73,77.379997,39.799999,93.129997,66.43,74.16999799999999,37.77,49.349998,115.68,59.009997999999996,71.650002,110.050003,76.269997,34.290001000000004,65.57,24.700001,69.889999,54.59,27.610001,63.990002000000004,56.689999,34.630001,65.760002,73.989998,50.360001000000004,78.519997,77.480003,48.07,79.940002,14.43,123.089996,141.91000400000001,30.889999,125.089996,40.049999,86.91999799999999,37.5,26.940001000000002,96.410004,50.98,58.59,19.360001,35.310001,65.849998,72.230003,80.019997,30.959999,107.370003,62.860001000000004,68.779999,65.41999799999999
2015-03-31,42.139998999999996,111.690002,46.470001,37.459998999999996,96.440002,48.790001000000004,76.629997,39.18,92.629997,66.059998,73.940002,37.709998999999996,48.84,114.41999799999999,57.98,72.160004,109.620003,75.83000200000001,33.689999,65.389999,24.73,70.120003,55.169998,27.76,63.619999,56.779999,35.139998999999996,65.660004,75.050003,49.880001,78.339996,77.300003,47.639998999999996,79.91999799999999,14.48,122.879997,140.149994,31.41,125.699997,39.91,86.150002,37.57,26.59,95.010002,51.009997999999996,59.02,19.25,35.509997999999996,66.300003,72.199997,79.860001,30.82,106.730003,62.41,69.279999,64.239998
2015-04-01,42.07,111.940002,46.459998999999996,37.59,96.790001,48.34,76.849998,38.919998,92.589996,65.940002,75.120003,37.299999,48.049999,113.370003,58.400002,71.860001,108.650002,75.25,33.540001000000004,65.16999799999999,24.67,69.309998,55.360001000000004,27.639999,62.880001,57.110001000000004,35.099998,65.239998,74.629997,49.860001000000004,76.720001,75.559998,47.48,79.339996,14.41,121.82,140.630005,31.42,124.699997,40.139998999999996,85.400002,37.549999,26.17,94.199997,50.91,58.759997999999996,18.84,34.919998,66.18,71.459999,80.339996,30.9,106.690002,62.900002,68.720001,64.599998
