,CIK,Company Name,Form Type,Date Filed,Filename,Text
214539,724606,PANERA BREAD CO,8-K,2015-05-11,edgar/data/724606/0000724606-15-000018.txt,
214540,724606,PANERA BREAD CO,8-K,2015-05-27,edgar/data/724606/0000724606-15-000020.txt,
215579,730263,THOR INDUSTRIES INC,8-K,2015-05-01,edgar/data/730263/0001144204-15-026760.txt,
215580,730263,THOR INDUSTRIES INC,8-K,2015-05-19,edgar/data/730263/0001144204-15-032304.txt,
215581,730263,THOR INDUSTRIES INC,8-K,2015-06-04,edgar/data/730263/0001144204-15-035526.txt,
215582,730263,THOR INDUSTRIES INC,8-K,2015-06-11,edgar/data/730263/0001144204-15-036744.txt,
220108,768835,BIG LOTS INC,8-K,2015-05-29,edgar/data/768835/0000768835-15-000026.txt,
220109,768835,BIG LOTS INC,8-K,2015-06-02,edgar/data/768835/0000768835-15-000028.txt,
220110,768835,BIG LOTS INC,8-K,2015-06-24,edgar/data/768835/0000768835-15-000050.txt,
223403,794170,TOLL BROTHERS INC,8-K,2015-05-27,edgar/data/794170/0000794170-15-000026.txt,
223617,795266,KB HOME,8-K,2015-04-06,edgar/data/795266/0000795266-15-000033.txt,
223618,795266,KB HOME,8-K,2015-06-19,edgar/data/795266/0000795266-15-000040.txt,
224530,800240,OFFICE DEPOT INC,8-K,2015-05-05,edgar/data/800240/0001193125-15-170086.txt,
224531,800240,OFFICE DEPOT INC,8-K,2015-06-05,edgar/data/800240/0001193125-15-215030.txt,
224532,800240,OFFICE DEPOT INC,8-K,2015-06-12,edgar/data/800240/0001193125-15-220864.txt,
224533,800240,OFFICE DEPOT INC,8-K,2015-06-19,edgar/data/800240/0001193125-15-228637.txt,
224534,800240,OFFICE DEPOT INC,8-K,2015-06-22,edgar/data/800240/0001193125-15-230133.txt,
247497,906163,NVR INC,8-K,2015-04-21,edgar/data/906163/0001144204-15-023995.txt,
247498,906163,NVR INC,8-K,2015-05-06,edgar/data/906163/0001193125-15-173663.txt,
248606,910521,DECKERS OUTDOOR CORP,8-K,2015-04-14,edgar/data/910521/0000910521-15-000010.txt,
248607,910521,DECKERS OUTDOOR CORP,8-K,2015-05-12,edgar/data/910521/0000910521-15-000013.txt,
248608,910521,DECKERS OUTDOOR CORP,8-K,2015-05-28,edgar/data/910521/0001144204-15-034067.txt,
248609,910521,DECKERS OUTDOOR CORP,8-K,2015-06-05,edgar/data/910521/0000910521-15-000020.txt,
250979,916789,HELEN OF TROY LTD,8-K,2015-05-04,edgar/data/916789/0001104659-15-033770.txt,
251768,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-05-22,edgar/data/919012/0001193125-15-198772.txt,
251769,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-06-10,edgar/data/919012/0001193125-15-219359.txt,
258136,945841,POOL CORP,8-K,2015-04-23,edgar/data/945841/0000945841-15-000074.txt,
258137,945841,POOL CORP,8-K,2015-05-07,edgar/data/945841/0000945841-15-000081.txt,
258138,945841,POOL CORP,8-K,2015-05-11,edgar/data/945841/0000945841-15-000097.txt,
1984,1008654,TUPPERWARE BRANDS CORP,8-K,2015-07-09,edgar/data/1008654/0001008654-15-000012.txt,
1985,1008654,TUPPERWARE BRANDS CORP,8-K,2015-07-22,edgar/data/1008654/0001008654-15-000014.txt,
1986,1008654,TUPPERWARE BRANDS CORP,8-K,2015-09-02,edgar/data/1008654/0001008654-15-000018.txt,
13067,1062449,BUFFALO WILD WINGS INC,8-K,2015-07-15,edgar/data/1062449/0001062449-15-000024.txt,
13068,1062449,BUFFALO WILD WINGS INC,8-K,2015-07-23,edgar/data/1062449/0001062449-15-000026.txt,
13069,1062449,BUFFALO WILD WINGS INC,8-K,2015-07-28,edgar/data/1062449/0001062449-15-000028.txt,
13070,1062449,BUFFALO WILD WINGS INC,8-K,2015-08-14,edgar/data/1062449/0001062449-15-000035.txt,
157052,20212,CHURCHILL DOWNS INC,8-K,2015-07-14,edgar/data/20212/0000020212-15-000022.txt,
157053,20212,CHURCHILL DOWNS INC,8-K,2015-07-29,edgar/data/20212/0000020212-15-000025.txt,
157054,20212,CHURCHILL DOWNS INC,8-K,2015-09-23,edgar/data/20212/0000020212-15-000028.txt,
157055,20212,CHURCHILL DOWNS INC,8-K,2015-09-28,edgar/data/20212/0000020212-15-000031.txt,
158145,24491,COOPER TIRE & RUBBER CO,8-K,2015-08-06,edgar/data/24491/0001144204-15-046691.txt,
163113,355811,GENTEX CORP,8-K,2015-07-23,edgar/data/355811/0000355811-15-000042.txt,
